EUW1_6835690099,41.9167,RED,BLUE,6,RED,0
EUW1_6835777630,29.7167,BLUE,RED,4,BLUE,0
EUW1_6835830547,25.7167,RED,RED,3,RED,0
EUW1_6836341241,26.2167,BLUE,BLUE,2,None,0
EUW1_6836711206,34.1833,BLUE,BLUE,4,BLUE,0
EUW1_6846093759,28.7167,RED,RED,4,RED,1
EUW1_6864425042,26.7833,BLUE,RED,4,BLUE,0
EUW1_6865044348,23.1667,BLUE,RED,4,BLUE,0
EUW1_6865362541,30.1,RED,RED,4,BLUE,0
EUW1_6866232985,32.9,BLUE,BLUE,5,BLUE,0
EUW1_6866267709,26.1,BLUE,BLUE,4,BLUE,0
EUW1_6866292846,35.6833,RED,RED,5,RED,0
EUW1_6872775150,4.41667,BLUE,None,0,None,1
EUW1_6872799549,29.1833,RED,RED,3,RED,1
EUW1_6872833395,28.25,RED,RED,4,RED,0
EUW1_6873514684,26.8167,RED,RED,4,RED,0
EUW1_6873554873,33.0667,BLUE,RED,4,None,0
EUW1_6873655860,22.45,RED,RED,3,RED,0
EUW1_6874190678,42.55,BLUE,BLUE,5,RED,0
EUW1_6874252236,30.0667,RED,BLUE,5,None,0
EUW1_6874924125,1.76667,BLUE,None,0,None,0
EUW1_6876239358,29.8,RED,RED,4,RED,0
EUW1_6876333309,28.5167,RED,RED,4,RED,1
EUW1_6876367518,25.5,RED,RED,4,None,1
EUW1_6876378055,38.4667,RED,RED,6,RED,0
EUW1_6897508620,25.45,RED,RED,2,RED,0
EUW1_6909098919,35.6333,BLUE,BLUE,5,BLUE,0
EUW1_6910433872,34.0667,BLUE,RED,5,BLUE,1
EUW1_6910502440,26.8333,RED,RED,4,None,0
EUW1_6910576936,23.8833,BLUE,RED,4,None,0
EUW1_6910631968,36.5,RED,RED,5,RED,0
EUW1_6910746988,25.25,BLUE,BLUE,3,BLUE,0
EUW1_6910782213,21.45,RED,BLUE,3,RED,1
EUW1_6910818099,29.25,BLUE,RED,4,BLUE,0
EUW1_6910858567,15.55,BLUE,BLUE,1,None,1
EUW1_6910869236,36.6167,RED,BLUE,6,RED,0
EUW1_6910906178,29.9833,RED,BLUE,5,None,0
EUW1_6911225937,15.25,RED,RED,2,None,1
EUW1_6911247582,35.05,RED,RED,5,BLUE,0
EUW1_6912312519,31.9167,RED,RED,5,RED,0
EUW1_6913679736,37.0333,BLUE,BLUE,5,BLUE,0
EUW1_6913758749,31.7667,RED,BLUE,4,RED,0
EUW1_6914957324,26.5667,BLUE,BLUE,3,BLUE,1
EUW1_6914998227,40.65,RED,RED,6,BLUE,0
EUW1_6916212924,31.4333,BLUE,BLUE,5,BLUE,0
EUW1_6916514953,24.5333,BLUE,BLUE,3,None,0
EUW1_6916529931,29.5167,BLUE,BLUE,4,BLUE,0
EUW1_6917652216,34.6,RED,BLUE,5,RED,1
EUW1_6917722843,30.5,RED,RED,4,RED,0
EUW1_6918066993,25.9667,RED,BLUE,3,RED,0
EUW1_6918238024,27.4,BLUE,BLUE,3,BLUE,1
EUW1_6919293067,15.75,BLUE,BLUE,1,None,1
EUW1_6919299240,26.1833,RED,BLUE,4,RED,0
EUW1_6919310343,19.75,BLUE,BLUE,2,None,0
EUW1_6919319379,31.2833,RED,BLUE,5,RED,0
