EUW1_6835690099,18,57,28,555,235,143,86,235,233,136
EUW1_6835777630,25,233,360,266,-1,7,89,266,114,360
EUW1_6835830547,200,233,67,420,238,8,-1,427,57,28
EUW1_6836341241,157,119,901,28,56,69,56,236,360,106
EUW1_6836711206,233,24,57,33,28,350,103,11,28,54
EUW1_6846093759,103,53,119,200,17,69,28,-1,122,235
EUW1_6864425042,79,48,69,901,111,25,106,122,43,-1
EUW1_6865044348,22,43,84,143,38,86,28,-1,106,420
EUW1_6865362541,235,555,234,29,266,245,28,235,360,86
EUW1_6866232985,103,235,777,420,28,36,11,157,-1,113
EUW1_6866267709,141,21,497,122,777,55,28,901,114,876
EUW1_6866292846,121,117,235,54,38,38,48,141,69,-1
EUW1_6872775150,67,350,901,53,11,99,420,90,106,24
EUW1_6872799549,28,82,25,119,122,901,777,63,10,11
EUW1_6872833395,80,25,55,20,99,901,82,157,99,32
EUW1_6873514684,266,103,99,222,33,141,67,81,901,113
EUW1_6873554873,35,901,157,99,420,69,24,166,86,122
EUW1_6873655860,96,29,-1,-1,39,67,64,43,28,106
EUW1_6874190678,233,238,-1,143,58,99,238,48,-1,145
EUW1_6874252236,122,90,121,89,222,35,777,106,202,39
EUW1_6874924125,-1,38,99,360,36,555,875,-1,420,236
EUW1_6876239358,24,777,53,99,90,99,33,55,90,84
EUW1_6876333309,-1,82,99,238,75,35,238,67,122,555
EUW1_6876367518,63,105,72,99,-1,420,11,24,105,111
EUW1_6876378055,143,114,238,11,99,233,16,67,235,223
EUW1_6897508620,29,238,24,119,9,161,22,876,420,777
EUW1_6909098919,9,238,-1,35,122,555,360,777,268,11
EUW1_6910433872,63,136,86,119,72,117,54,360,517,67
EUW1_6910502440,238,200,143,72,86,517,134,18,35,99
EUW1_6910576936,86,131,119,141,38,35,222,-1,56,420
EUW1_6910631968,86,29,875,420,233,53,266,910,238,234
EUW1_6910746988,55,79,86,555,236,77,72,63,24,99
EUW1_6910782213,234,86,157,83,233,7,119,233,75,11
EUW1_6910818099,67,38,51,103,420,157,105,86,-1,28
EUW1_6910858567,222,82,166,201,31,266,222,777,238,86
EUW1_6910869236,89,54,86,163,38,53,84,62,106,119
EUW1_6910906178,35,11,69,86,233,106,82,38,234,122
EUW1_6911225937,103,254,420,51,80,233,555,69,86,119
EUW1_6911247582,238,-1,555,6,119,233,40,86,910,106
EUW1_6912312519,11,81,25,86,103,222,36,56,157,90
EUW1_6913679736,38,154,17,63,254,103,24,222,56,131
EUW1_6913758749,25,101,119,420,19,11,29,63,105,84
EUW1_6914957324,33,86,35,67,223,-1,164,45,555,9
EUW1_6914998227,103,35,111,29,56,9,157,910,164,119
EUW1_6916212924,19,9,555,7,157,63,114,11,72,84
EUW1_6916514953,25,67,22,254,105,166,119,154,54,895
EUW1_6916529931,157,63,910,119,72,103,119,-1,233,91
EUW1_6917652216,72,24,143,119,517,63,203,119,777,122
EUW1_6917722843,51,234,136,22,84,-1,901,122,63,131
EUW1_6918066993,-1,38,39,67,360,902,7,895,122,555
EUW1_6918238024,902,24,53,29,106,10,113,53,200,111
EUW1_6919293067,555,200,238,-1,81,72,238,902,103,25
EUW1_6919299240,222,360,90,11,72,111,38,103,876,902
EUW1_6919310343,122,-1,360,80,90,51,902,33,83,234
EUW1_6919319379,222,72,24,51,99,901,902,48,136,711
EUW1_6920032840,143,86,-1,136,902,222,99,24,420,84
EUW1_6920327750,222,84,902,122,101,233,350,360,222,53
EUW1_6921174928,105,119,53,63,166,72,63,902,67,55
EUW1_6921258281,67,106,266,119,777,29,53,27,103,902
EUW1_6921432632,19,11,-1,238,35,11,45,29,901,777
EUW1_6921519536,19,236,82,18,157,202,50,72,36,86
EUW1_6921605637,86,127,11,21,101,41,157,19,119,122
EUW1_6925774566,122,28,72,131,121,420,90,222,11,360
EUW1_6925793018,145,136,105,80,72,910,420,72,222,119
EUW1_6927353120,143,82,127,99,25,21,53,234,75,105
EUW1_6927626176,99,222,11,72,420,143,82,63,102,131
EUW1_6927876315,24,517,238,63,72,157,122,555,11,143
EUW1_6927933008,3,143,63,5,777,9,24,157,29,120
EUW1_6928497844,63,18,517,35,11,48,35,517,147,555
EUW1_6928536237,111,10,55,35,157,122,18,141,143,-1
EUW1_6929259688,25,143,200,48,45,420,233,105,53,35
EUW1_6929285988,119,555,84,90,17,11,143,99,103,82
EUW1_6929744131,63,222,35,17,7,53,200,143,3,420
EUW1_6930380858,166,82,143,555,19,33,119,360,45,18
EUW1_6930654589,136,222,122,777,64,420,200,25,90,21
EUW1_6930880296,902,62,266,119,90,105,412,203,875,34
EUW1_6930901293,266,22,517,83,420,777,8,78,555,122
EUW1_6930916664,22,11,84,202,875,11,82,910,89,-1
EUW1_6930969841,36,555,53,30,119,17,111,35,910,51
EUW1_6930982053,234,40,233,777,25,62,122,121,222,777
EUW1_6931029563,35,223,48,63,83,56,82,106,360,777
EUW1_6931211290,90,201,102,51,56,86,84,96,56,51
EUW1_6931277586,105,82,51,50,72,17,35,234,164,157
EUW1_6931388946,90,99,143,200,420,53,136,131,119,67
EUW1_6931562964,99,222,777,11,33,-1,7,21,141,266
EUW1_6931602177,25,33,99,950,555,83,134,51,35,84
EUW1_6931623342,222,48,11,131,105,35,30,1,910,360
EUW1_6931625870,238,910,122,25,21,112,89,29,7,11
EUW1_6931938178,122,222,119,84,157,360,420,40,203,101
EUW1_6932016486,29,234,122,67,38,119,238,143,200,107
EUW1_6932208399,122,72,55,21,266,51,25,19,99,420
EUW1_6932254842,222,555,-1,122,-1,19,25,202,131,83
EUW1_6932302237,72,48,55,9,222,233,101,45,157,83
EUW1_6932659997,10,76,21,11,103,161,27,11,18,-1
EUW1_6932667960,90,11,555,83,67,19,40,67,82,53
EUW1_6932675890,48,234,55,222,141,83,5,119,236,105
EUW1_6932778848,11,350,82,21,517,51,777,157,233,122
EUW1_6932840992,901,141,420,53,234,74,555,106,157,18
EUW1_6933231592,777,29,83,157,201,136,143,-1,11,420
EUW1_6933301551,360,234,412,910,79,200,234,122,54,131
EUW1_6933848072,157,420,-1,11,555,555,777,11,157,75
EUW1_6934017814,84,235,72,24,119,120,166,200,117,72
EUW1_6934032247,154,107,11,72,166,119,58,203,245,222
EUW1_6934128417,119,777,238,29,19,233,141,-1,221,122
EUW1_6934172411,119,28,72,154,777,200,555,103,119,166
EUW1_6934184078,360,143,64,19,131,53,99,420,103,360
EUW1_6934225479,119,38,910,40,166,163,119,240,72,18
EUW1_6934227278,200,119,111,38,72,200,67,143,29,38
EUW1_6934268799,119,555,7,429,4,40,107,29,38,67
EUW1_6934341181,266,555,16,136,350,25,105,233,143,83
EUW1_6934351324,99,35,86,119,84,10,25,89,48,-1
EUW1_6934387171,429,-1,9,82,420,11,18,350,360,122
EUW1_6934455823,119,11,143,350,103,876,238,29,360,86
EUW1_6934473205,28,101,895,82,238,72,82,55,63,897
EUW1_6934500172,122,102,360,350,6,105,420,-1,234,202
EUW1_6934560695,63,222,122,234,33,111,38,35,51,122
EUW1_6934604845,72,114,28,51,267,72,84,54,555,39
EUW1_6934658069,72,18,53,233,164,72,54,24,84,67
EUW1_6934708332,67,11,164,54,157,72,103,29,54,131
EUW1_6934738858,103,24,119,166,84,35,40,81,103,54
EUW1_6934764724,101,54,84,200,254,895,38,254,12,-1
EUW1_6934839335,200,164,96,105,85,233,122,555,222,54
EUW1_6934987145,222,8,119,28,72,76,12,163,122,53
EUW1_6935179957,233,84,523,86,360,35,238,11,72,420
EUW1_6935205510,17,90,11,143,67,79,143,103,7,56
EUW1_6935366328,240,72,555,429,154,163,103,55,166,119
EUW1_6935447812,90,35,131,48,910,119,234,360,82,238
EUW1_6935498893,24,61,72,29,910,28,157,200,901,254
EUW1_6936112629,201,222,2,245,103,72,555,28,234,38
EUW1_6936120869,119,72,201,200,67,96,203,72,200,38
EUW1_6936134263,200,119,246,555,7,96,555,200,122,72
EUW1_6936183235,79,119,107,63,246,121,200,119,84,166
EUW1_6936201680,29,53,200,11,122,119,238,555,777,62
EUW1_6936227537,360,72,-1,517,40,72,236,84,166,7
EUW1_6936236269,72,875,235,517,777,902,33,360,84,114
